order_id,basket_size,promo_flag,store_format,high_margin
1,340.39,0,A,1
2,221.83,0,C,0
3,264.55,1,A,0
4,489.44,1,B,1
5,98.17,0,A,0
6,375.82,0,B,1
7,26.33,1,B,0
8,33.97,0,D,0
9,181.53,0,D,0
10,346.65,1,D,1
11,471.95,0,B,1
12,92.82,0,B,0
13,210.14,1,A,0
14,422.27,1,A,1
15,37.71,0,D,0
16,473.91,0,D,1
17,14.06,1,C,0
18,142.86,1,B,0
19,327.01,0,B,1
20,194.28,0,B,0
21,44.65,1,D,0
22,277.0,0,C,0
23,61.2,1,B,0
24,32.15,1,B,0
25,59.05,0,C,0
26,354.47,0,A,1
27,458.49,0,D,1
28,208.87,0,D,0
29,188.07,0,A,0
30,128.14,0,A,0
31,447.77,0,A,1
32,186.64,0,B,0
33,240.57,0,B,0
34,368.67,1,C,1
35,492.85,0,A,1
36,280.7,0,A,0
37,329.85,1,A,1
38,184.71,0,C,0
39,427.73,0,B,1
40,311.24,1,C,1
41,394.7,1,D,1
42,44.9,1,D,0
43,312.08,1,B,1
44,316.01,0,C,1
45,377.65,1,A,1
46,171.96,1,B,0
47,166.22,0,D,0
48,426.01,1,D,1
49,130.5,1,C,0
50,180.49,1,C,0
51,11.62,1,B,0
52,453.45,1,B,1
53,175.16,0,C,0
54,144.13,0,D,0
55,408.94,1,B,1
56,473.56,0,B,1
57,387.97,0,A,1
58,298.66,0,D,1
59,194.57,1,D,0
60,487.8,0,C,1
61,274.31,0,A,0
62,302.31,1,B,1
63,116.9,0,C,0
64,46.64,1,C,0
65,466.59,0,B,1
66,341.63,1,A,1
67,68.39,0,B,0
68,470.5,0,D,1
69,122.24,0,D,0
70,126.1,0,C,0
71,72.89,0,A,0
72,216.5,1,D,0
73,458.0,1,D,1
74,24.53,1,A,0
75,483.74,1,D,1
76,279.6,0,C,0
77,421.52,0,B,1
78,60.27,0,C,0
79,375.23,1,C,1
80,363.16,1,A,1
81,373.75,0,C,1
82,62.31,1,D,0
83,385.86,0,D,1
84,206.44,1,C,0
85,158.49,1,A,0
86,363.38,1,D,1
87,324.98,1,B,1
88,206.13,0,A,0
89,214.93,0,B,0
90,430.81,0,D,1
91,223.1,1,D,0
92,118.23,0,D,0
93,127.18,0,B,0
94,103.8,1,B,0
95,173.38,0,D,0
96,454.92,1,C,1
97,81.76,1,C,0
98,418.9,0,A,1
99,442.59,0,C,1
100,257.07,0,C,0
101,324.99,1,C,1
102,304.28,0,D,1
103,271.11,0,A,0
104,133.01,1,D,0
105,341.52,0,B,1
106,387.72,0,A,1
107,373.89,0,D,1
108,353.27,0,A,1
109,139.53,1,B,0
110,276.84,0,B,0
111,382.97,1,C,1
112,213.14,0,C,0
113,233.98,1,D,0
114,41.18,0,D,0
115,411.27,0,B,1
116,300.96,1,B,1
117,47.34,0,D,0
118,112.88,1,B,0
119,265.94,1,B,0
120,77.37,0,A,0
121,181.02,0,D,0
122,64.33,0,A,0
123,265.46,0,D,0
124,60.48,1,A,0
125,317.15,1,C,1
126,202.42,0,D,0
127,302.34,1,D,1
128,438.44,1,B,1
129,304.94,0,B,1
130,269.39,0,A,0
131,357.16,0,D,1
132,497.8,1,C,1
133,479.97,0,C,1
134,196.74,0,C,0
135,427.1,0,B,1
136,270.99,1,D,0
