project_id,start_date,end_date,duration_days,budget_kusd,actual_cost_kusd,team_size,complexity,scope_change,satisfaction,success
P0001,2022-05-10,2022-08-22,104,217.2,175.49,34,2,0,5.0,1
P0002,2022-11-10,2023-04-01,142,246.31,198.22,27,3,1,5.0,1
P0003,2020-05-01,2020-09-11,133,230.39,232.15,23,5,0,4.1,1
P0004,2021-04-11,2022-01-19,283,251.63,233.18,36,1,0,4.58,1
P0005,2020-11-26,2021-08-09,256,148.28,100.55,34,1,0,5.0,1
P0006,2020-03-28,2020-08-16,141,210.21,226.39,33,10,0,3.81,1
P0007,2022-05-21,2022-09-26,128,224.06,183.11,49,9,0,4.69,1
P0008,2020-05-10,2020-11-08,182,223.35,184.48,33,7,1,4.43,0
P0009,2022-02-08,2022-09-19,223,256.85,255.25,34,1,0,5.0,1
P0010,2020-12-09,2021-11-13,339,222.34,192.32,20,8,0,4.01,1
P0011,2022-03-16,2022-09-24,192,142.75,145.38,44,3,0,4.25,1
P0012,2021-01-20,2021-09-14,237,229.57,297.52,23,8,0,4.04,1
P0013,2022-08-13,2023-02-27,198,155.85,146.98,22,5,0,3.83,1
P0014,2020-10-03,2021-04-11,190,165.03,138.8,5,1,0,5.0,1
P0015,2021-04-04,2021-07-10,97,179.07,183.95,18,7,0,4.21,1
P0016,2020-01-22,2020-12-05,318,194.43,171.82,6,5,0,4.51,1
P0017,2020-09-09,2021-07-12,306,122.81,123.25,32,6,0,4.33,1
P0018,2022-01-17,2022-12-16,333,255.84,267.96,34,6,0,4.05,1
P0019,2022-05-06,2022-10-17,164,142.22,141.47,42,8,0,4.67,1
P0020,2021-04-19,2021-11-29,224,278.51,280.87,8,9,0,4.62,1
P0021,2022-12-18,2023-05-24,157,143.75,147.89,5,2,0,4.54,0
P0022,2021-05-25,2021-07-26,62,264.1,327.36,12,9,0,3.7,1
P0023,2021-11-30,2022-06-23,205,198.58,191.05,33,10,0,3.68,1
P0024,2022-09-02,2022-10-23,51,114.18,116.36,43,9,0,4.38,1
P0025,2020-07-08,2021-04-01,267,147.85,167.08,7,10,0,4.05,1
P0026,2022-08-15,2023-02-18,187,266.32,285.14,36,10,0,3.77,0
P0027,2021-11-17,2022-01-23,67,222.43,210.48,14,7,0,4.41,1
P0028,2022-08-15,2023-05-01,259,196.06,222.59,14,1,0,4.6,1
P0029,2021-07-16,2021-10-04,80,89.16,77.51,23,7,0,4.08,1
P0030,2022-04-11,2023-01-29,293,269.48,260.31,38,10,0,4.53,1
P0031,2021-10-08,2022-08-16,312,293.52,259.57,37,5,0,4.5,1
P0032,2020-01-21,2020-03-17,56,284.4,308.98,27,6,1,4.0,0
P0033,2022-04-20,2022-12-31,255,169.24,199.44,32,10,0,3.6,1
P0034,2020-06-15,2021-04-17,306,219.14,226.48,36,7,0,4.53,1
P0035,2021-01-22,2021-12-03,315,224.61,227.14,11,5,0,4.3,0
P0036,2021-08-23,2021-12-27,126,123.63,107.4,33,7,0,3.98,1
P0037,2020-11-11,2021-09-20,313,209.02,187.0,12,9,0,4.04,1
P0038,2020-01-14,2020-12-25,346,253.55,208.17,5,3,0,5.0,1
P0039,2020-08-29,2021-07-28,333,238.22,160.44,7,8,0,5.0,0
P0040,2022-02-15,2022-08-10,176,144.44,135.97,28,2,1,4.54,1
P0041,2021-07-18,2021-08-20,33,156.87,149.85,27,7,0,4.0,1
P0042,2022-06-16,2022-08-19,64,239.53,317.6,12,2,0,3.69,0
P0043,2020-04-01,2020-11-08,221,231.64,285.94,41,4,0,3.64,1
P0044,2022-08-13,2022-10-30,78,87.29,94.57,7,7,0,4.5,1
P0045,2021-05-23,2021-07-08,46,77.17,101.3,37,3,0,4.52,1
P0046,2022-02-14,2022-09-03,201,196.17,237.1,32,2,0,4.44,1
P0047,2020-02-04,2020-10-10,249,170.52,119.17,12,10,0,4.46,1
P0048,2020-07-24,2021-01-27,187,185.08,214.72,38,7,0,4.52,0
P0049,2022-10-22,2023-01-05,75,179.44,198.58,39,1,0,4.74,1
P0050,2022-10-18,2022-11-22,35,249.2,238.38,36,8,0,4.61,1
P0051,2021-07-19,2021-11-24,128,205.18,161.62,28,3,0,4.97,1
P0052,2021-12-03,2022-08-22,262,213.38,232.44,18,2,0,4.63,1
P0053,2021-02-05,2021-04-12,66,132.88,91.44,36,3,0,4.95,1
P0054,2021-12-30,2022-11-04,309,50.0,49.84,47,5,1,4.7,1
P0055,2020-06-10,2021-05-07,331,256.18,232.46,20,8,0,4.44,1
P0056,2020-07-20,2021-02-15,210,307.16,249.16,8,10,0,4.11,1
P0057,2022-09-22,2023-01-24,124,182.87,215.48,41,7,0,3.68,1
P0058,2020-09-26,2021-02-01,128,212.47,211.15,25,7,0,4.8,1
P0059,2022-03-26,2022-10-29,217,216.23,221.87,18,7,0,4.84,1
P0060,2021-03-31,2021-08-23,145,283.76,322.41,35,8,0,3.86,0
P0061,2022-10-13,2023-05-21,220,244.45,244.13,22,1,0,4.92,1
P0062,2020-10-22,2021-07-31,282,224.8,240.03,11,4,0,4.58,0
